fmun_cod,ano,populacao
3304508,2024,9264
3304524,2024,168099
3304557,2024,6729894
3304607,2024,10579
3304706,2024,43686
3304755,2024,47368
3304805,2024,41197
3304904,2024,960652
3305000,2024,38708
3305109,2024,466536
3305133,2024,7315
3305158,2024,22799
3305208,2024,110556
3305307,2024,7999
3305406,2024,18289
3305505,2024,95201
3305554,2024,84737
3305604,2024,22026
3305703,2024,15690
3305752,2024,32858
3305802,2024,176692
3305901,2024,10652
3306008,2024,82300
3306107,2024,71462
3306156,2024,10559
3306206,2024,35904
3306305,2024,279898
3300100,2025,179142
3300159,2025,11426
3300209,2025,137906
3300225,2025,12239
3300233,2025,42527
3300258,2025,32822
3300308,2025,98506
3300407,2025,181679
3300456,2025,518384
3300506,2025,29758
3300605,2025,37176
3300704,2025,238438
3300803,2025,59861
3300902,2025,15069
3300936,2025,14329
3300951,2025,9048
3301009,2025,519259
3301108,2025,19995
3301157,2025,13407
3301207,2025,17741
3301306,2025,48636
3301405,2025,21770
3301504,2025,21448
3301603,2025,11355
3301702,2025,866225
3301801,2025,12644
3301850,2025,54311
3301876,2025,29616
3301900,2025,240127
3302007,2025,124021
3302056,2025,14518
3302106,2025,23645
3302205,2025,107297
3302254,2025,32713
3302270,2025,102171
3302304,2025,7584
3302403,2025,264439
3302452,2025,5602
3302502,2025,244142
3302601,2025,43660
3302700,2025,212470
3302809,2025,18048
3302858,2025,178830
3302908,2025,28142
3303005,2025,28416
3303104,2025,15551
3303203,2025,155500
3303302,2025,516787
3303401,2025,203417
3303500,2025,843220
3303609,2025,43627
3303708,2025,44479
3303807,2025,47668
3303856,2025,31370
3303906,2025,294926
3303955,2025,25096
3304003,2025,29066
3304102,2025,17832
3304110,2025,21089
3304128,2025,14165
3304144,2025,149135
3304151,2025,23142
3304201,2025,137697
3304300,2025,59126
3304409,2025,17951
3304508,2025,9267
3304524,2025,168455
3304557,2025,6730729
3304607,2025,10580
3304706,2025,43697
3304755,2025,47397
3304805,2025,41212
3304904,2025,960196
3305000,2025,38740
3305109,2025,466503
3305133,2025,7318
3305158,2025,22813
3305208,2025,110677
3305307,2025,7993
3305406,2025,18291
3305505,2025,95315
3305554,2025,84794
3305604,2025,22028
3305703,2025,15693
3305752,2025,32865
3305802,2025,176735
3305901,2025,10654
3306008,2025,82319
3306107,2025,71449
3306156,2025,10563
3306206,2025,35907
3306305,2025,279971
